1,Jacksonville,5,44.26,8.85
2,Pittsburgh,5,48.8,9.76
3,Buffalo,5,62.66,12.53
4,Seattle,5,65.5,13.1
5,Baltimore,5,66.76,13.35
6,Cincinnati,5,72.92,14.58
7,Minnesota,5,76.06,15.21
8,Carolina,5,76.16,15.23
9,Miami,4,62.56,15.64
10,Detroit,5,79.1,15.82
11,Green Bay,5,79.94,15.99
12,Atlanta,4,64.98,16.25
13,LA Chargers,5,81.94,16.39
14,Chicago,5,82.5,16.5
15,LA Rams,5,83.5,16.7
16,Denver,4,67.38,16.84
17,Oakland,5,85.12,17.02
18,Washington,4,70.28,17.57
19,NY Jets,5,88.2,17.64
20,San Francisco,5,95.38,19.08
21,NY Giants,5,95.84,19.17
22,Philadelphia,5,96.9,19.38
23,Dallas,5,99.18,19.84
24,New Orleans,4,80.34,20.09
25,Arizona,5,100.76,20.15
26,Kansas City,5,102.12,20.42
27,Cleveland,5,103.86,20.77
28,Houston,5,104.92,20.98
29,Tennessee,5,110.22,22.04
30,Tampa Bay,4,92.94,23.23
31,Indianapolis,5,118.9,23.78
32,New England,5,142.9,28.58
