1,San Francisco,5,22,4.4
2,Green Bay,5,35.7,7.14
3,LA Chargers,5,38.6,7.72
4,Cincinnati,5,39.9,7.98
5,Tampa Bay,4,32.9,8.22
6,Pittsburgh,5,42.7,8.54
7,NY Jets,5,47.1,9.42
8,Carolina,5,47.4,9.48
9,Tennessee,5,49.7,9.94
10,Buffalo,5,49.8,9.96
11,Oakland,5,54.4,10.88
12,Kansas City,5,55.5,11.1
13,Dallas,5,57.4,11.48
14,LA Rams,5,57.8,11.56
,Arizona,5,57.8,11.56
16,New Orleans,4,46.4,11.6
17,Baltimore,5,59.5,11.9
18,Seattle,5,61.3,12.26
19,Detroit,5,63.3,12.66
20,Philadelphia,5,63.4,12.68
21,Atlanta,4,50.8,12.7
22,Chicago,5,63.8,12.76
23,Jacksonville,5,66.8,13.36
24,Indianapolis,5,68,13.6
25,Minnesota,5,70.9,14.18
26,Houston,5,71.4,14.28
27,Denver,4,60.5,15.12
28,Miami,4,62.8,15.7
29,New England,5,85.4,17.08
30,Washington,4,74.5,18.62
31,Cleveland,5,102.1,20.42
32,NY Giants,5,106.4,21.28
