Denver Broncos,NYG,22nd,4,10,4,0,0,1,1,74,840,203,"1,043",7.8,4000,1.94,Sun 8:30,,,,,,,,,,,,,,,
Houston Texans,Cle,31st,5,11,4,3,0,0,2,124,"1,107",509,"1,616",6.8,3900,1.74,Sun 1:00,,,,,,,,,,,,,,,
Baltimore Ravens,Chi,24th,5,12,9,3,0,0,1,97,"1,026",617,"1,643",10.6,3700,2.86,Sun 1:00,,,,,,,,,,,,,,,
Jacksonville Jaguars,LA,6th,5,20,10,5,0,0,4,83,889,732,"1,621",16.4,3600,4.56,Sun 4:05,,,,,,,,,,,,,,,
Atlanta Falcons,Mia,30th,4,12,1,1,0,0,1,77,901,372,"1,273",6.2,3500,1.79,Sun 1:00,,,,,,,,,,,,,,,
Washington Redskins,SF,16th,4,12,4,3,0,0,1,77,890,355,"1,245",9.2,3400,2.72,Sun 1:00,,,,,,,,,,,,,,,
Indianapolis Colts,@Ten,21st,5,11,6,1,1,0,0,133,"1,470",517,"1,987",5,3300,1.52,Mon 8:30,,,,,,,,,,,,,,,
New England Patriots,@NYJ,23rd,5,10,3,2,0,0,0,136,"1,615",621,"2,236",3.4,3300,1.03,Sun 1:00,,,,,,,,,,,,,,,
Philadelphia Eagles,@Car,17th,5,12,3,5,0,1,1,93,"1,416",314,"1,730",8.8,3200,2.75,Thu 8:25,,,,,,,,,,,,,,,
Los Angeles Rams,@Jax,3rd,5,15,6,3,1,0,2,121,"1,044",668,"1,712",9.4,3200,2.94,Sun 4:05,,,,,,,,,,,,,,,
Kansas City Chiefs,Pit,24th,5,14,4,3,0,0,2,111,"1,240",590,"1,830",9,3200,2.81,Sun 4:25,,,,,,,,,,,,,,,
Los Angeles Chargers,@Oak,14th,5,17,2,2,0,0,0,113,951,806,"1,757",5.4,3100,1.74,Sun 4:25,,,,,,,,,,,,,,,
Tennessee Titans,Ind,32nd,5,8,4,2,0,0,0,130,"1,175",550,"1,725",4.2,3000,1.4,Mon 8:30,,,,,,,,,,,,,,,
Carolina Panthers,Phi,10th,5,17,1,2,0,0,0,94,971,399,"1,370",7,3000,2.33,Thu 8:25,,,,,,,,,,,,,,,
Minnesota Vikings,GB,19th,5,12,4,1,0,0,0,91,"1,146",400,"1,546",5.2,2900,1.79,Sun 1:00,,,,,,,,,,,,,,,
Green Bay Packers,@Min,7th,5,11,3,6,0,0,1,100,999,607,"1,606",7.8,2800,2.79,Sun 1:00,,,,,,,,,,,,,,,
Arizona Cardinals,TB,5th,5,10,4,0,0,0,1,119,"1,156",474,"1,630",5.2,2800,1.86,Sun 4:05,,,,,,,,,,,,,,,
Chicago Bears,@Bal,17th,5,13,0,3,1,1,0,118,"1,024",501,"1,525",4.2,2700,1.56,Sun 1:00,,,,,,,,,,,,,,,
New Orleans Saints,Det,10th,4,11,4,0,0,0,0,78,"1,061",438,"1,499",7,2700,2.59,Sun 1:00,,,,,,,,,,,,,,,
Pittsburgh Steelers,@KC,2nd,5,17,5,3,0,1,1,77,698,683,"1,381",10.2,2600,3.92,Sun 4:25,,,,,,,,,,,,,,,
New York Giants,@Den,9th,5,8,1,2,1,0,0,122,"1,124",695,"1,819",3.4,2600,1.31,Sun 8:30,,,,,,,,,,,,,,,
Tampa Bay Buccaneers,@Ari,27th,4,4,3,3,0,0,1,83,"1,236",349,"1,585",6.5,2600,2.5,Sun 4:05,,,,,,,,,,,,,,,
Oakland Raiders,LAC,8th,5,10,0,4,0,0,0,103,"1,133",623,"1,756",4.2,2500,1.68,Sun 4:25,,,,,,,,,,,,,,,
Detroit Lions,@NO,1st,5,13,7,4,0,0,3,91,"1,279",373,"1,652",12.2,2400,5.08,Sun 1:00,,,,,,,,,,,,,,,
Cleveland Browns,@Hou,28th,5,12,3,3,0,0,0,124,"1,141",383,"1,524",4.6,2300,2,Sun 1:00,,,,,,,,,,,,,,,
San Francisco 49ers,@Was,26th,5,13,3,3,0,0,0,120,"1,249",583,"1,832",5.2,2200,2.36,Sun 1:00,,,,,,,,,,,,,,,
New York Jets,NE,4th,5,7,6,1,0,0,0,100,"1,058",715,"1,773",5.2,2100,2.48,Sun 1:00,,,,,,,,,,,,,,,
Miami Dolphins,@Atl,20th,4,10,0,3,0,0,1,67,936,302,"1,238",7.2,2000,3.62,Sun 1:00,,,,,,,,,,,,,,,
