"Le'Veon Bell, Pit",@KC,3rd,5,102,371,3,27,144,0,1,0,19.9,9600,2.07,Sun 4:25,,,,,,,,,,,,,
"Kareem Hunt, KC",Pit,31st,5,97,609,4,16,166,2,1,1,28.1,8200,3.43,Sun 4:25,,,,,,,,,,,,,
"Leonard Fournette, Jax",LA,26th,5,109,466,5,13,128,1,1,0,22.9,8000,2.86,Sun 4:05,,,,,,,,,,,,,
"Melvin Gordon, LAC",@Oak,18th,5,74,273,2,19,155,3,0,0,19,7800,2.43,Sun 4:25,,,,,,,,,,,,,
"Todd Gurley, LA",@Jax,23rd,5,100,405,4,22,241,3,5,2,26.5,7700,3.44,Sun 4:05,,,,,,,,,,,,,
"Devonta Freeman, Atl",Mia,9th,4,70,285,5,9,70,0,0,0,19.4,7400,2.62,Sun 1:00,,,,,,,,,,,,,
"Ty Montgomery, GB",@Min,2nd,4,46,152,2,18,129,1,0,0,16,6700,2.39,Sun 1:00,,,,,,,,,,,,,
"C.J. Anderson, Den",NYG,22nd,4,73,330,1,10,67,1,0,0,16.2,6600,2.45,Sun 8:30,,,,,,,,,,,,,
"David Johnson, Ari",TB,17th,1,11,23,0,6,67,0,2,1,14,6500,2.15,Sun 4:05,,,,,,,,,,,,,
"Carlos Hyde, SF",@Was,15th,5,73,332,2,18,95,0,1,0,15.1,6200,2.44,Sun 1:00,,,,,,,,,,,,,
"Bilal Powell, NYJ",NE,32nd,5,51,240,2,13,72,0,0,0,11.8,6000,1.97,Sun 1:00,,,,,,,,,,,,,
"Jordan Howard, Chi",@Bal,21st,5,82,328,4,10,50,0,1,1,14.8,5900,2.5,Sun 1:00,,,,,,,,,,,,,
"Christian McCaffrey, Car",Phi,5th,5,34,96,0,27,237,1,1,1,13.7,5900,2.32,Thu 8:25,,,,,,,,,,,,,
"Doug Martin, TB",@Ari,4th,1,13,74,1,1,8,0,0,0,15.2,5800,2.62,Sun 4:05,,,,,,,,,,,,,
"Jay Ajayi, Mia",@Atl,24th,4,76,261,0,7,23,0,1,1,9.3,5700,1.64,Sun 1:00,,,,,,,,,,,,,
"Aaron Jones, GB",@Min,2nd,4,32,174,2,1,9,0,0,0,8.6,5600,1.53,Sun 1:00,,,,,,,,,,,,,
"Mike Gillislee, NE",@NYJ,28th,5,69,246,4,0,0,0,0,0,9.7,5500,1.77,Sun 1:00,,,,,,,,,,,,,
"Javorius Allen, Bal",Chi,16th,5,66,232,1,20,97,1,0,0,13,5400,2.4,Sun 1:00,,,,,,,,,,,,,
"Lamar Miller, Hou",Cle,7th,5,83,331,1,12,135,1,0,0,14.1,5400,2.61,Sun 1:00,,,,,,,,,,,,,
"Andre Ellington, Ari",TB,17th,5,13,49,0,28,257,0,0,0,11.7,5300,2.21,Sun 4:05,,,,,,,,,,,,,
"DeMarco Murray, Ten",Ind,10th,5,56,273,1,10,39,0,1,1,9.8,5200,1.89,Mon 8:30,,,,,,,,,,,,,
"James White, NE",@NYJ,28th,5,20,76,0,29,230,0,0,0,11.9,5200,2.29,Sun 1:00,,,,,,,,,,,,,
"Tarik Cohen, Chi",@Bal,21st,5,36,194,0,25,144,1,2,1,12.8,5100,2.5,Sun 1:00,,,,,,,,,,,,,
"Duke Johnson, Cle",@Hou,12th,5,16,77,2,23,270,1,0,0,15.1,5100,2.97,Sun 1:00,,,,,,,,,,,,,
"Tevin Coleman, Atl",Mia,9th,4,29,181,0,13,153,1,1,0,13.1,5000,2.62,Sun 1:00,,,,,,,,,,,,,
"Derrick Henry, Ten",Ind,10th,5,43,187,1,1,10,0,0,0,5.3,5000,1.07,Mon 8:30,,,,,,,,,,,,,
"Marshawn Lynch, Oak",LAC,27th,5,57,194,2,4,38,0,0,0,7.8,5000,1.57,Sun 4:25,,,,,,,,,,,,,
"Chris Thompson, Was",SF,30th,4,20,142,2,14,235,2,1,1,19.4,5000,3.88,Sun 1:00,,,,,,,,,,,,,
"Ameer Abdullah, Det",@NO,29th,5,76,288,1,10,68,0,0,0,10.3,4900,2.11,Sun 1:00,,,,,,,,,,,,,
"Rob Kelley, Was",SF,30th,3,29,131,0,0,0,0,0,0,4.4,4800,0.91,Sun 1:00,,,,,,,,,,,,,
"LeGarrette Blount, Phi",@Car,14th,5,56,323,1,3,21,1,0,0,10.5,4700,2.23,Thu 8:25,,,,,,,,,,,,,
"Matt Breida, SF",@Was,15th,5,30,120,0,8,49,0,0,0,5,4700,1.06,Sun 1:00,,,,,,,,,,,,,
"Latavius Murray, Min",GB,19th,5,26,69,0,4,20,0,1,0,2.6,4700,0.55,Sun 1:00,,,,,,,,,,,,,
"Wendell Smallwood, Phi",@Car,14th,4,29,113,1,7,56,0,0,0,7.5,4700,1.59,Thu 8:25,,,,,,,,,,,,,
