"Rob Gronkowski, NE",@NYJ,7th,4,20,318,30,2,0,0,1,0,16.7,6800,2.46,Sun 1:00,,,,,,,,,,,,,
"Zach Ertz, Phi",@Car,8th,5,32,387,48,2,0,0,1,1,16.3,6300,2.59,Thu 8:25,,,,,,,,,,,,,
"Travis Kelce, KC",Pit,6th,5,29,353,37,2,7,0,0,0,16.6,6100,2.72,Sun 4:25,,,,,,,,,,,,,
"Jordan Reed, Was",SF,1st,3,14,105,19,0,0,0,1,0,8.2,5000,1.63,Sun 1:00,,,,,,,,,,,,,
"Delanie Walker, Ten",Ind,24th,5,21,244,31,0,1,1,0,0,10.3,4800,2.15,Mon 8:30,,,,,,,,,,,,,
"Greg Olsen, Car",Phi,20th,2,3,28,6,0,0,0,0,0,2.9,4600,0.63,Thu 8:25,,,,,,,,,,,,,
"Austin Seferian-Jenkins, NYJ",NE,29th,3,15,106,18,1,0,0,0,0,10.5,4300,2.45,Sun 1:00,,,,,,,,,,,,,
"Hunter Henry, LAC",@Oak,11th,5,12,138,18,2,0,0,0,0,7.6,4100,1.84,Sun 4:25,,,,,,,,,,,,,
"Ryan Griffin, Hou",Cle,31st,4,9,96,16,1,0,0,0,0,6.2,4000,1.54,Sun 1:00,,,,,,,,,,,,,
"Cameron Brate, TB",@Ari,14th,4,15,205,22,3,0,0,0,0,13.4,3900,3.43,Sun 4:05,,,,,,,,,,,,,
"Vernon Davis, Was",SF,1st,4,8,160,10,1,0,0,0,0,7.5,3900,1.92,Sun 1:00,,,,,,,,,,,,,
"Evan Engram, NYG",@Den,27th,5,19,200,34,1,0,0,0,0,9,3800,2.37,Sun 8:30,,,,,,,,,,,,,
"Kyle Rudolph, Min",GB,2nd,5,16,154,24,2,0,0,0,0,8.7,3800,2.28,Sun 1:00,,,,,,,,,,,,,
"Jared Cook, Oak",LAC,3rd,5,19,195,31,1,0,0,1,1,8.7,3700,2.35,Sun 4:25,,,,,,,,,,,,,
"Jack Doyle, Ind",@Ten,9th,4,17,163,23,0,0,0,1,1,8.1,3700,2.18,Mon 8:30,,,,,,,,,,,,,
"Martellus Bennett, GB",@Min,25th,5,20,194,31,0,0,0,0,0,7.9,3600,2.19,Sun 1:00,,,,,,,,,,,,,
"Austin Hooper, Atl",Mia,28th,4,10,194,13,1,0,0,0,0,9.6,3500,2.74,Sun 1:00,,,,,,,,,,,,,
"George Kittle, SF",@Was,30th,5,17,166,23,1,0,0,0,0,7.9,3400,2.33,Sun 1:00,,,,,,,,,,,,,
"Benjamin Watson, Bal",Chi,22nd,5,18,148,22,1,0,0,1,0,7.8,3300,2.35,Sun 1:00,,,,,,,,,,,,,
"Coby Fleener, NO",Det,19th,4,11,129,15,2,0,0,0,0,9,3200,2.8,Sun 1:00,,,,,,,,,,,,,
"Jesse James, Pit",@KC,12th,5,18,151,25,2,0,0,0,0,9,3100,2.91,Sun 4:25,,,,,,,,,,,,,
"Ed Dickson, Car",Phi,20th,5,11,271,14,0,0,0,0,0,8.2,3000,2.74,Thu 8:25,,,,,,,,,,,,,
"Eric Ebron, Det",@NO,16th,5,12,93,23,1,0,0,0,0,5.5,3000,1.82,Sun 1:00,,,,,,,,,,,,,
"C.J. Fiedorowicz, Hou",Cle,31st,1,4,46,4,0,0,0,0,0,8.6,3000,2.87,Sun 1:00,,,,,,,,,,,,,
"Antonio Gates, LAC",@Oak,11th,5,11,99,20,1,0,0,0,0,5.4,3000,1.79,Sun 4:25,,,,,,,,,,,,,
"David Njoku, Cle",@Hou,26th,5,12,118,15,3,1,0,0,0,8.4,3000,2.79,Sun 1:00,,,,,,,,,,,,,
"Zach Miller, Chi",@Bal,17th,5,16,182,27,1,0,0,0,0,8,2900,2.77,Sun 1:00,,,,,,,,,,,,,
"Stephen Anderson, Hou",Cle,31st,4,7,119,12,0,0,0,0,0,4.7,2800,1.69,Sun 1:00,,,,,,,,,,,,,
"Demetrius Harris, KC",Pit,6th,5,5,36,8,1,0,0,0,0,2.9,2800,1.04,Sun 4:25,,,,,,,,,,,,,
