"Antonio Brown, Pit",@KC,27th,5,40,545,64,1,0,0,1,0,21.9,9300,2.35,Sun 4:25,,,,,,,,,,,,,
"Julio Jones, Atl",Mia,11th,4,19,295,30,0,0,0,0,0,12.9,8300,1.55,Sun 1:00,,,,,,,,,,,,,
"DeAndre Hopkins, Hou",Cle,8th,5,35,363,61,5,0,0,0,0,20.9,8100,2.58,Sun 1:00,,,,,,,,,,,,,
"Keenan Allen, LAC",@Oak,13th,5,28,401,52,1,0,0,0,0,16,7900,2.03,Sun 4:25,,,,,,,,,,,,,
"Brandin Cooks, NE",@NYJ,16th,5,18,379,32,2,10,0,0,0,14.8,7600,1.94,Sun 1:00,,,,,,,,,,,,,
"Stefon Diggs, Min",GB,21st,5,23,395,36,4,-2,0,0,0,17.9,7500,2.38,Sun 1:00,,,,,,,,,,,,,
"Michael Thomas, NO",Det,20th,4,25,310,37,2,0,0,0,0,17,7300,2.33,Sun 1:00,,,,,,,,,,,,,
"Jordy Nelson, GB",@Min,19th,5,19,230,28,6,0,0,0,0,15.6,7100,2.2,Sun 1:00,,,,,,,,,,,,,
"Chris Hogan, NE",@NYJ,16th,5,23,288,37,5,17,0,0,0,16.7,7000,2.39,Sun 1:00,,,,,,,,,,,,,
"Mike Evans, TB",@Ari,25th,4,24,276,40,2,0,0,0,0,15.9,6900,2.3,Sun 4:05,,,,,,,,,,,,,
"Larry Fitzgerald, Ari",TB,32nd,5,32,327,51,2,0,0,0,0,15.9,6800,2.34,Sun 4:05,,,,,,,,,,,,,
"Golden Tate, Det",@NO,23rd,5,29,267,40,1,9,0,0,0,13.1,6800,1.93,Sun 1:00,,,,,,,,,,,,,
"T.Y. Hilton, Ind",@Ten,29th,5,24,466,37,1,0,0,1,1,16.3,6700,2.44,Mon 8:30,,,,,,,,,,,,,
"Jarvis Landry, Mia",@Atl,7th,4,30,210,43,1,-7,0,0,0,14.1,6600,2.13,Sun 1:00,,,,,,,,,,,,,
"Odell Beckham Jr., NYG",@Den,17th,4,25,302,41,3,8,0,0,0,18.5,6500,2.85,Sun 8:30,,,,,,,,,,,,,
"Kelvin Benjamin, Car",Phi,31st,5,17,272,25,1,0,0,0,0,10.6,6400,1.66,Thu 8:25,,,,,,,,,,,,,
"Tyreek Hill, KC",Pit,1st,5,25,356,34,2,24,0,2,0,16.8,6400,2.62,Sun 4:25,,,,,,,,,,,,,
"Pierre Garcon, SF",@Was,2nd,5,28,379,44,0,0,0,0,0,13.8,6300,2.19,Sun 1:00,,,,,,,,,,,,,
"Alshon Jeffery, Phi",@Car,14th,5,20,246,38,2,0,0,0,0,11.7,6300,1.86,Thu 8:25,,,,,,,,,,,,,
"DeVante Parker, Mia",@Atl,7th,4,19,236,28,1,0,0,0,0,12.2,6200,1.96,Sun 1:00,,,,,,,,,,,,,
"Devin Funchess, Car",Phi,31st,5,24,269,35,3,0,0,0,0,13.8,6100,2.26,Thu 8:25,,,,,,,,,,,,,
"Emmanuel Sanders, Den",NYG,5th,4,20,190,34,2,0,0,0,0,12.8,6100,2.09,Sun 8:30,,,,,,,,,,,,,
"Adam Thielen, Min",GB,21st,5,29,392,40,0,11,0,2,2,14.1,6000,2.34,Sun 1:00,,,,,,,,,,,,,
"Demaryius Thomas, Den",NYG,5th,4,18,247,30,0,0,0,0,0,10.7,6000,1.78,Sun 8:30,,,,,,,,,,,,,
"Randall Cobb, GB",@Min,19th,4,23,218,31,1,10,0,0,0,12.9,5900,2.19,Sun 1:00,,,,,,,,,,,,,
"Michael Crabtree, Oak",LAC,21st,4,19,252,24,4,0,0,0,0,17.1,5800,2.94,Sun 4:25,,,,,,,,,,,,,
"DeSean Jackson, TB",@Ari,25th,4,14,249,29,1,0,0,0,0,12,5800,2.06,Sun 4:05,,,,,,,,,,,,,
"Davante Adams, GB",@Min,19th,5,23,285,39,4,0,0,0,0,15.1,5700,2.65,Sun 1:00,,,,,,,,,,,,,
"Terrelle Pryor, Was",SF,26th,4,13,186,24,1,0,0,0,0,9.4,5700,1.65,Sun 1:00,,,,,,,,,,,,,
"Danny Amendola, NE",@NYJ,16th,4,23,267,27,1,0,0,1,0,14.7,5600,2.62,Sun 1:00,,,,,,,,,,,,,
